date, description, high, low
Today, Rain. Becoming windy for the afternoon. Potential for heavy rainfall. High 57F. Winds SSE at 20 to 30 mph. Chance of rain 100%. Rainfall possibly over one inch., 57, 53
Thu 12, Cloudy skies. Low 53F. Winds SE at 10 to 20 mph., 61, 53
Fri 13, Considerable cloudiness. High 61F. Winds SE at 5 to 10 mph., 58, 53
Sat 14, Cloudy skies early with showers later at night. Low 53F. Winds SE at 10 to 15 mph. Chance of rain 50%., 56, 50
Sun 15, Cloudy with periods of rain. High 58F. Winds SSE at 10 to 15 mph. Chance of rain 80%. Rainfall near a half an inch., 54, 49
Mon 16, Rain. Low 53F. Winds SSE at 10 to 20 mph. Chance of rain 90%. Rainfall near a quarter of an inch., 54, 48
Tue 17, Periods of rain. Potential for heavy rainfall. High 56F. Winds SW at 10 to 20 mph. Chance of rain 100%. Rainfall around a half an inch., 54, 50
Wed 18, A steady rain in the evening. Showers continuing late. Low near 50F. Winds WSW at 10 to 15 mph. Chance of rain 70%. Rainfall near a quarter of an inch., 55, 48
Thu 19," Showers early, becoming a steady rain later in the day. High 54F. Winds SW at 10 to 15 mph. Chance of rain 80%. Rainfall near a quarter of an inch.", 55, 45
Fri 20, Rain likely. Low 49F. Winds SSW at 10 to 20 mph. Chance of rain 90%. Rainfall near a quarter of an inch., 55, 46
Sat 21, Rain. High 54F. Winds WSW at 10 to 20 mph. Chance of rain 70%. Rainfall near a quarter of an inch., 58, 45
Sun 22, Steady light rain in the evening. Showers continuing late. Low 48F. Winds WNW at 10 to 15 mph. Chance of rain 70%., 58, 44
Mon 23, Cloudy with occasional rain showers. High 54F. Winds W at 10 to 15 mph. Chance of rain 40%., 58, 44
Tue 24, Cloudy with occasional rain showers. Low near 50F. Winds SW at 5 to 10 mph. Chance of rain 60%., 58, 44
Wed 25, Considerable cloudiness with occasional rain showers. High near 55F. Winds SW at 10 to 15 mph. Chance of rain 60%., 58, 44
